question_code,text,option_1,option_2,option_3,option_4,N,Type,Order,Keywords
q6123,How often do you send greeting cards for holidays and birthdays?,Always,Sometimes,Never,,10368,O,,descriptive
q6238,Do you laugh when somebody trips and falls?,"Yes, almost always","No, almost never",Occasionally,,21449,O,"1, 3, 2",descriptive
q6356,"Your partner wants to keep a small, shaved monkey as a pet because it's funny looking.",Cool,"Bad idea, but it's up to them",No way,,9051,O,,preference
q6499,"If I saw someone checking out my significant other, I'd feel:",flattered / proud,protective / concerned,unchanged,,27195,O,"1, 3, 2",sex/intimacy; preference; descriptive
q6574,Homeschooling is...,Something I would do for my kids,Bad,Something I would consider,,5318,O,"1, 3, 2",politics; preference; opinion
q6627,"Once you realize that something will be almost impossible to attain, does it become MORE or LESS attractive to you?",More,Less,No effect / I'm not sure,,9843,O,"1, 3, 2",preference
q6888,Are you fascinated with all things dark and macabre?,Yes,No,I used to be,,18923,O,"1, 3, 2",preference
q7041,Fast food is:,Great!,Ok,Disgusting,,8770,O,,preference
q7060,Are politics interesting?,Yes,No,Sometimes,,27093,O,"1, 3, 2",politics; preference; opinion
q7079,Could you date someone with abnormal amounts of body hair?,Yes,No,I don't know,,19673,O,"1, 3, 2",preference
q7578,Are you at all bothered by girls who wear guys clothes?,Yes,No,I'm Not Sure,,2222,O,"1, 3, 2",preference
q8058,"How do you feel about internet sex, also known as 'cybering'?",It arouses me very much.,I don't have an opinion.,I think it's stupid.,,12074,O,,sex/intimacy; preference
q8079,How many hours a day do you prefer to sleep?,Around 8 hours,A lot less than 8 hours,More than 8 hours,,16264,O,"3, 1, 2",descriptive
q8186,Do you think the family of a murder victim should have any say in what punishment is given to the murderer?,Yes,No,I'm Not Sure,,2793,O,"1, 3, 2",politics
q8218,Would you ever film a sexual encounter without your partner knowing?,Yes,No,I'm Not Sure,,18477,O,"1, 3, 2",sex/intimacy
q8444,Would a partner with big hands and feet (bigger than average) turn you off?,Yes,No,I'm Not Sure,,12606,O,"1, 3, 2",sex/intimacy
q9379,Would you ever date or mess around with a good friend's ex?,"Yes, why not?",No,"Yes, but only with my friend's permission",,31625,O,"3, 1, 2",sex/intimacy
q9401,How much does the sound of a person's voice affect their attractiveness to you?,A lot,A little,Not at all,,18469,O,,sex/intimacy; preference
q9411,Do you like to go to museums?,"Yes, a lot","Yes, a little",No,,14540,O,,preference
q9418,Manners are:,Important,Not very important,I fart on this question,,24556,O,,opinion
q9422,Do you enjoy watching B movies or so-called 'cult classics'?,Yes,No,What are B movies/cult classics?,,17165,O,"2, 3, 1",preference
q9474,Would you date somebody who was a virgin at the age of 25?,"Yes, definitely",Only if they were willing to give it up,No,,14130,O,,sex/intimacy; preference
q9482,Have you ever changed a diaper?,Yes,"No, and I wouldn't","No, but I would",,8649,O,"2, 3, 1",descriptive
q9628,Biting?,No,Yes,Let's break skin,,28487,O,,sex/intimacy
q9668,"Not as in whips and chains, but in general, do you prefer your partner to be...",Dominant,Submissive,Balanced,,34373,O,"2, 3, 1",sex/intimacy; preference; BDSM
q9683,How well do you handle criticism?,Really well,Not that well,Not at all,,18229,O,,descriptive
q9688,Could you date someone who does drugs?,No,"Yes, but only soft stuff like marijuana",Yes,,55697,O,,preference
q9693,Do you believe that because a person is overweight that it is because they are weak and without self control?,Yes / Usually,No,I'm Not Sure,,7005,O,"2, 3, 1",opinion
q9892,"Were you born on a Zodiac cusp? In other words, do you have two alternating Zodiac signs?",Yes,No,I'm Not Sure,,8058,O,"2, 3, 1",religion/superstition; descriptive
q12229,Would you consider dating a divorced person?,"Yes, definitely",I'd prefer not,Definitely no,,10065,O,,preference
q12637,Would you inform law enforcement agencies about a friend committing a serious crime?,Yes,Maybe,No,,6298,O,,politics; descriptive
q12774,Would you make a fool out of yourself in public if it meant you were making your partner laugh?,Yes,No,I'm Not Sure,,3684,O,"2, 3, 1",preference; descriptive
q12949,Would you consider dating someone who's had a gender change?,Yes,No,I'm Not Sure,,14277,O,"2, 3, 1",preference
q13006,Would you go out with a smoker?,Yes,"Yes, but only an occasional/social smoker",No,,44337,O,,preference
q13095,Do you kiss on the first date?,"Under the right circumstance, Yes",Never,Always,,22594,O,"3, 1, 2",sex/intimacy
q13112,How fast do you walk?,I walk quickly.,I'm in the middle.,I walk slowly.,,16071,O,,descriptive
q13142,Do you go to LAN parties?,Yes,No,What's a 'LAN party'?,,14582,O,"2, 3, 1",descriptive
q14853,How do you feel about baseball?,It's my life,I can take it or leave it,I think it's dumb,,23026,O,,preference
q14884,Would you date someone significantly (9 years or over) older than you?,Yes,No,I'm Not Sure,,11915,O,"2, 3, 1",preference
q15063,Would you be willing to date someone with ADD (attention deficit disorder)?,Yes,No,I don't know,,19335,O,"2, 3, 1",preference
q15180,"If you saw an acquaintance acting incredibly silly when they thought nobody was watching, would you be more attracted or less attracted to them?",More attracted,Less attracted,My opinion of them would not change,,8743,O,"2, 3, 1",preference
q15294,"If it were possible, would you hypnotize someone you love into loving you, even if they didn't even find you attractive?","Yes, I'd just want them","No, if it's meant to be, it will be",I'm Not Sure,,2721,O,"2, 3, 1",preference
q15312,"Is it acceptable for a country to spend more money on its defense program, military, or war budget than on its education or welfare programs?",Yes,No,I'm Not Sure,,6158,O,"2, 3, 1",politics
q15414,"Have you used psychedelic drugs (LSD, mescaline, peyote, etc.) or would you like to?","Yes, I have used psychedelic drugs.","No, I have not used them and I would not try them.","No, I have not used them but I would try them.",,30270,O,"2, 3, 1",descriptive; preference
q15634,Do you like to be the center of attention?,"Yes, always","Yes, sometimes","Not really, no",,20415,O,,preference
q15704,What is your opinion of sarcasm?,I like it or love it.,It's okay.,Sarcasm is formulaic and lame.,,33187,O,,opinion
q15756,Should sex education be taught in schools?,Yes,No,I don't know,,22256,O,"2, 3, 1",politics; religion/superstition; opinion
q15757,Should a child who's caught masturbating be punished?,Yes,No,I don't know,,13535,O,"2, 3, 1",religion/superstition; opinion
q15764,Do you feel it is necessary to have a significant other at all times in your life?,Yes,No,I'm Not Sure,,7430,O,"2, 3, 1",preference; descriptive
q15778,"Would you be interested in someone who is highly involved with their large, extended family?",Yes,No,I'm Not Sure,,15360,O,"2, 3, 1",preference
q15889,Do you put more weight in science or faith?,Science,Faith,Equally in both,,39488,O,"2, 3, 1",religion/superstition
q16053,How willing are you to meet someone from OkCupid in person?,Totally willing!,"Hesitant, but I'd certainly consider it.",I'm not interested in meeting in person.,,58043,O,,preference
q16269,Do you ever get inspired to make something creative for no reason in particular?,Very Often,Rarely / Never,Sometimes,,22306,O,"2, 3, 1",descriptive
q16288,Would you be able to date someone that was unwilling to share their family history with you?,"Yes, I'd be dating them not their family.","No, What the heck are they hiding?","Dunno, depends.",,2580,O,"2, 3, 1",preference; descriptive
q16317,Would you ever date someone that is HIV positive?,Yes,No,I don't know,,28385,O,"2, 3, 1",preference
q16345,Are you better with numbers or words?,Numbers,Words,Both equally,,19399,O,"2, 3, 1",descriptive
q16362,"Is it possible for something to hurt no one-- physically, mentally, or in any other way-- and for it still to be morally wrong?",Yes,No,I'm Not Sure,,3331,O,"2, 3, 1",religion/superstition; opinion
q16371,Someone in an open relationship asks you out on a date. You:,Refuse / Aren't interested in open relationships.,"Are hesitant, but would consider it.",Accept / Are open to non-monogamous relationships.,,24844,O,,preference
q16479,Do you have dessert after dinner?,"Yes, often",No,Sometimes,,13204,O,"2, 3, 1",descriptive
q16545,Have you ever fired a machine gun?,Yes,"No, but I'd love to!","No, and I hope I never will!",,6374,O,,descriptive; preference
q16714,Your lover doesn't like one of your friends! You have to choose!,Lose your friend,Lose your lover,I'm Not Sure,,3748,O,"2, 3, 1",preference
q16765,Do you like to gag girls?,Yes,No,I'm Not Sure,,5828,O,"2, 3, 1",sex/intimacy
q16820,What is your opinion on Walmart?,Retail heaven,Devil incarnate,Just another corporation,,23325,O,"2, 3, 1",opinion
q16862,Beards: cool or ugly?,Cool,Ugly,Depends,,29561,O,"2, 3, 1",opinion
q17017,Do you litter?,Often,Rarely,Never,,35221,O,,descriptive
q17052,"Does someone who refuses to take care of their body (e.g. diet, cleanliness, etc.) have the right to complain about not getting laid?",Yes,No,I don't want to answer this question,,7000,O,"2, 3, 1",opinion
q17354,Lolita?,Brilliant,Overrated,Don't know,,8759,O,"2, 3, 1",opinion
q17620,How organized are the files on your computer?,Very - Many Folders and Subfolders,Somewhat - I can find most things,Scattered - Everything thrown together,,15120,O,,descriptive; technology
q17732,"If a clone was made of you, would you sleep with it?",Yes,No,I Don't Know,,14300,O,"2, 3, 1",sex/intimacy; preference
q17808,Would you date someone purely on the fact that they were well endowed?,Yes,No,Depend on how 'well' we are talking!,,22015,O,"2, 3, 1",sex/intimacy
q17844,French new wave films?,Cool,Uncool,Huh?,,10318,O,"2, 3, 1",opinion
q18169,Think of when you were a little kid and choose the most appropriate answer.,I got in trouble all the time.,I never got in trouble.,I never got in trouble because I never got caught.,,13346,O,"2, 3, 1",descriptive
q18185,"Your family dog/cat is diagnosed with an illness, and the vet bill will be $2,000. Do you :",Save Fluffy--to hell with the expense!,Grudgingly pay the bill.,Have Fluffy put down,,12111,O,,descriptive; preference
q18386,Art Crimes such as grafitti and other public visual expressions are..,Unacceptable and should remain crimes,Art and the artists should not be punished,I don't really care,,2948,O,"2, 3, 1",politics; opinion
q18398,"You have a one-time opportunity to use a machine with a numbered dial, which, when turned, adds that number to both your IQ and your weight.  What do you do?",Turn it up -- I'd love the extra smarts.,Turn it down -- I'm smart 'n' chunky,Don't touch that dial -- I like myself as is.,,15009,O,"2, 3, 1",preference
q18504,Do you have a dark and morbid sense of humor?,Yes,No,Occasionally,,30286,O,"2, 3, 1",descriptive
q18544,Would you adopt a baby from another country ?,Yes,No,I don't know/ I'm not sure,,3080,O,"2, 3, 1",preference
q18547,Guys with facial hair…,Great!,Okay.,Gross!,,25485,O,,preference; opinion
q18555,Have you ever felt so strongly about a social issue or cause that you have participated in a public demonstration?,Yes,No,Politics bore me,,19633,O,,politics; descriptive
q18564,Do you believe that it is possible to experience romantic love for more than one person at a time without loving one less because of your love for the other?,Yes,No,I'm Not Sure,,12200,O,"2, 3, 1",sex/intimacy; opinion
q18569,Do you have rhythm (at least enough to find the beat of a song)?,Yes,No,"I think so, but people tell me otherwise",,10552,O,"2, 3, 1",descriptive
q18576,Animal Testing.,Is necessary.,The regulations we have are fine.,All testers deserve to be abused! Free the Monkey!,,4589,O,"3, 1, 2",politics; opinion
q18594,"Do superficial people, who place a high emphasis on physical appearance, annoy you?",Yes,No,Sometimes,,29880,O,"2, 3, 1",descriptive
q18638,Would you read a book just for fun?,"Yeah, I like to read.","What, me read if I don't have to?",If I have nothing better to do.,,9835,O,"2, 3, 1",preference
q18639,"If your partner had a foot fetish, would you include it in your sex life?","Yes, for their sake","Yes, because I like it, too",No,,22238,O,"3, 1, 2",sex/intimacy
q18670,Are you a member of the Society for Creative Anachronism (SCA)?,No,"No, but sounds interesting.",Yes,,11750,O,,descriptive
q18688,Do you believe that morality is completely relative?,Yes,No,A little / I'm not sure,,6199,O,"2, 3, 1",religion/superstition; opinion
q18691,Is it important to be friends before being lovers ?,Yes,No,I'm Not Sure,,17350,O,"2, 3, 1",sex/intimacy; opinion
q18695,Do you feel you have a purpose or calling in life?,Yes,I'm Not Sure,Definitely Not,,2794,O,,religion/superstition; descriptive
q18711,Have you ever cosplayed? (Dressed up as a comic/anime character),Yes,"No, and I wouldn't be interested","No, but it sounds cool",,21942,O,,descriptive; preference; opinion
q18758,Do you find that arguing with your significant other is arousing to you?,Yes,No,I'm Not Sure,,12999,O,"2, 3, 1",sex/intimacy; descriptive
q18776,Would you lie to keep your lover from going to jail?,Yes,No,I'm Not Sure,,8780,O,"2, 3, 1",preference
q18782,Hippies?,"Them's good people, man.",I don't dig 'em.,I don't care.,,5038,O,"2, 3, 1",politics; preference; opinion
q18841,Would you date someone that you'd had a one night stand with?,"Yes, but only if the sex had been good.","Yes, but only if I liked that person.",No.,,10858,O,"(1, 2), 3",sex/intimacy; preference
q18894,Are you an insomniac?,Yes,No,Occasionally,,18362,O,"2, 3, 1",descriptive
q18900,Do you chew with your mouth open?,Yes,Sometimes,No,,21168,O,,descriptive
q18902,"Would you date someone who was only interested in a committed, long-term relationship?",Yes,No,I'm Not Sure,,12736,O,"2, 3, 1",preference
q18905,Would you pose nude for a magazine?,Yes,No,I'm Not Sure,,13718,O,"2, 3, 1",preference
q18918,Do you enjoy visiting art galleries?,Yes,No,Art is boring,,18090,O,,preference
q18928,Do you find yourself affected more by movies than by real life?,Yes!,No...,I sure hope not,,4037,O,"2, 3, 1",descriptive
q18968,Should women be just as likely to be drafted during a major war as men are?,Yes,No,I'm Not Sure,,3230,O,"2, 3, 1",politics
q18977,Do you believe in second chances when it comes to romantic relationships?,"Yes, it may work out in another time/place.","No, it didn't work the first time, it never will",Depends on the relationship,,10870,O,"2, 3, 1",sex/intimacy; opinion
q18984,"Assuming you've been in a failed relationship, Does your ex-partner's opinion still matter to you?","Yes, a little.","No, never.","Yes, still waiting on a second chance!",,5217,O,"3, 1, 2",preference; descriptive
q19088,Do you believe there are only two genders?,Yes,No,I'm Not Sure,,11903,O,"2, 3, 1",opinion
q19094,Ouija Boards - Cool or Crap?,Very cool!,Crap - a waste of time!,I'm Not Sure.,,2659,O,"2, 3, 1",religion/superstition; preference
q19106,Are attractive people generally bad persons?,Yes,No,What?,,6880,O,"2, 3, 1",opinion
q19140,"Personally, is sex in a public place hotter than indoor sex?",Yes,No,I'm Not Sure / Wouldn't know,,23411,O,"2, 3, 1",sex/intimacy
q19145,Guys/girls who are tall and lanky:,Love it!,Hate it!,Don't particularly care,,21439,O,"2, 3, 1",preference
q19148,Would you consider dating someone who had spent considerable time in a mental health facility? (i.e. mental hospital/institution.),Yes,No,I'm Not Sure,,2899,O,"2, 3, 1",preference
q19198,Would you ever consider dating an open-minded atheist?,Yes,No,I'm Not Sure,,6118,O,"2, 3, 1",religion/superstition; preference
q19263,"If you could kill all the mosqutoes in the world in an instant, would you do it?",Yes!,No,I'm Not Sure,,5911,O,"2, 3, 1",preference
q19265,A college-level education is...,Necessary,"Nice, but not mandatory",Unnecessary,,39043,O,,preference
q19418,The idea of being a 'housewife' (ie primary caretaker of house/spouse/possible children):,Is appealing,"Is creepy, housewives have no self-respect.",Is something I've never thought about,,1914,O,"2, 3, 1",opinion
q19445,Do you feel the urge to correct people who say stupid things?,Yes,No,Sometimes,,18479,O,"2, 3, 1",preference; descriptive
q19458,Is it ok for a girl to ask a guy out on a date?,"Yes, it's perfectly ok","Yes, but it comes across as desperate",No,,21497,O,,opinion
q19475,Do you believe that intelligence is a big factor in how long it takes a person to get angry or frustrated with something or someone?,People of higher intelligence are quick to anger,People of lower intelligence are quick to anger,Intelligence has nothing to do with it,,1209,O,"2, 3, 1",opinion
q19484,"Do you ever want to punch people you don't know, right in the face, for superficial reasons (the way they grin, their clothes, their voice, etc.)?",Every day,"It happens, but not often",Never,,14926,O,,preference; descriptive
q19508,You're talking to an attractive person in a bar and almost everything they say is in some way connected to television or films. What does that make them?,Major geek. Bye.,Cool - I'm just the same,Doesn't bother me,,4692,O,"2, 3, 1",preference
q19566,Would you consider dating a High School dropout?,Yes,"Yes, if they are doing well",No,,11773,O,,preference
q19625,"Do you write creatively (novels, plays, poetry, and so forth)?",Call me Shakespeare,"Yes, only for assignments, though",Not really / no,,13088,O,,descriptive
q19649,Do you find body hair attractive?,Yes,No,Depends on where the hair is,,14617,O,"2, 3, 1",preference
q19664,"If your 9 year old daughter was begging you to allow her to wear a thong, what would your response be?","Sure, why not?",Hell no.,I would consider it.,,10337,O,"2, 3, 1",descriptive
q19690,Would you date someone who used to have a problem with cutting themselves and have scars to prove it?,Yes,No,I'm Not Sure,,11312,O,"2, 3, 1",preference
q19691,How would you say your self esteem is?,High,Low,Neither high nor low,,19235,O,"2, 3, 1",descriptive
q19692,Are you grossed out by acne ?,Totally,I can tolerate it in moderate amounts,Not at all,,15619,O,,preference; descriptive
q19695,"In general, are you a competitive person?",Very often,Sometimes / rarely,Never / not really,,21949,O,,descriptive
q19815,Your significant other is perfectly content with their minimum wage job and has no plans to look for more challenging/better paying work. Is this a problem?,"Yes, I wouldn't be able to tolerate that.","Somewhat, but it's their life.","No, I don't mind.",,31022,O,,preference
q19820,Would you date someone with braces?,"Yes, braces are hot!",I'm not sure.,No way!  How uncool.,,10643,O,,preference
q19832,Would you consider attending the wedding of a relative you haven't seen since childhood?,"Yes, no matter what.","No, they're not a part of my life anymore.","Depends on the circumstances. Distance, time, etc",,12051,O,"2, 3, 1",preference
q19891,"If you found out that your significant other had been in pornographic films, which of the following most closely describes your reaction?",Repulsion,Arousal,Indifference,,9119,O,"2, 3, 1",preference
q19898,Do you enjoy finding out what makes things work the way they do?,I'm an information sponge,Sometimes,"As long as it works, who cares why?",,41310,O,,preference; descriptive
q19931,Straight women who kiss or fondle each other in clubs in the hopes of attracting men are...,Incredibly hot!,Just having some girlish fun.,Profoundly annoying.,,38427,O,,preference; opinion
q20062,"While in the middle of the best lovemaking of your life, if your lover asked you to squeal like a dolphin, would you?",Absolutely.,No way.,The best?  Maybe...,,23496,O,"2, 3, 1",sex/intimacy
q20096,Who would you rather compete against?,Someone less skilled than yourself,Someone evenly matched,Someone more skilled,,16220,O,,preference
q20121,Would you date someone who wore a hearing aid?,Yes,No,Perhaps if it were small and difficult to notice.,,12298,O,"2, 3, 1",preference
q20199,"If you took nude photos of your lover, would you give them the prints and negatives (or destroy them) if you broke up?",Yes,No,I'm Not Sure,,4139,O,"2, 3, 1",preference
q20277,Little white lies to make people feel better...,Are necessary,Are sometimes needed,Are wrong,,3876,O,,opinion
q20418,Do you keep a budget (of your finances)?,Yes,No,Sometimes,,43634,O,"2, 3, 1",descriptive
q20534,Would you put your elderly parent in a facility if it were possible that you could care for them at home?,Yes,No,I'm Not Sure,,2643,O,"2, 3, 1",preference
q20633,"Could you fall in love with someone that you had no initial physical interest in, if you got to know them and they had an amazing personality?",Yes,No,I'm Not Sure,,13288,O,"2, 3, 1",preference
q20661,"Could you date / marry someone who made a living off the legal harm of others (cigarette company representative / gov't weapons developer, etc..)?",Yes,No,I'm Not Sure / Sometimes / Depends,,4777,O,"2, 3, 1",preference
q20662,"Could you date someone who loved you with all their heart, and whom you liked a lot, but who was terrible in bed?",Yes,No,I'm Not Sure,,17101,O,"2, 3, 1",sex/intimacy; preference
q20672,Do you think the standard of western morality has declined in the last thirty years?,"Yes, I yearn for better values.","No, things are better now.",Can't compare. Values are relative. / Don't know,,5553,O,"2, 3, 1",politics; religion/superstition; opinion
q20725,Do you space out or daydream a lot?,All the time,Rarely / never,Sometimes,,43906,O,,descriptive
q20773,"Hypothetical: You are (romantically) interested in someone. After a few dates there is definitely chemistry. Since your last encounter, they've had a brief fling, but are still very interested in you. How do you feel?",I want nothing more to do with them...,"I'm unimpressed, but will give them a chance...",It really doesn't matter...,,12334,O,,preference
q20967,Could you ever date or associate with a person who was desperately unsure of themselves?,yes/probably,no/probably not,unsure/depends on the case,,6444,O,"2, 3, 1",preference
q20975,Were you ever addicted to an illicit substance?,"Yes, I am still using","Yes, but I quit",No,,6847,O,,descriptive
q20981,Genital piercings:,Make me hot,"Ouch, no thanks.",No opinion / Not sure,,29012,O,"2, 3, 1",preference
q21093,How willing would you be to sacrifice your life in order to save your country's Head of State (eg. Queen or President),I would do it without hesitation,It depends on the circumstances,I would never do it.,,6239,O,,politics; preference
q21122,"Would you have a 'Happy Button' installed on your body, connected to your brain, which would instantly make you very happy whenever you pressed it?",Yes,No,I'm not sure,,1986,O,"2, 3, 1",preference
q21135,"How do you feel about 'straight edge' kids (kids who have made a movement out of not smoking, drinking, doing drugs, etc..)?",I think it's cool/respectable,They annoy the piss out of me,They don't bother me,,13955,O,"2, 3, 1",opinion
q21175,"Are you an intellectual? In the context of this question, intellectual means someone who loves learning, often for its own sake.",Yes,No,I find learning boring,,31729,O,,descriptive; cognitive
q21200,Is it morally right for society to allow parents of children too young to make their own decisions to deny them the medical attention they require for survival for religious reasons?,"Yes, it is their child after all","No, absolutely not",I'm Not Sure,,8438,O,"2, 3, 1",politics; religion/superstition; opinion
q21249,"As a general rule, do you think glasses make a person look smarter?",Yes,No,Depends on the person,,13701,O,"2, 3, 1",opinion
q21523,"If you really needed some cash, would you lie to get it?",Yes,No,I'm Not Sure,,3987,O,"2, 3, 1",preference; descriptive
