question_code,text,option_1,option_2,option_3,option_4,N,Type,Order,Keywords
q14712,Have you ever camped out overnight more than a mile from civilization?,"Yes, and I loved it","Yes, and I hated it.","I've never tried it, but I'd like to.","No camping, ever!  I prefer civilization, thanks.",6283,O,,descriptive
q15698,How do you feel about kids?,Kids are precious - they love me and I love them!,"They're okay, but keep the unruly ones at bay.","God, how revolting. *shudder*",I'm indifferent.,39676,O,"3, (2, 4), 1",preference
q15742,How much do other people's opinions of you influence your decisions?,A lot,Some,Very little,Not at all,28241,O,,descriptive
q15743,How do you feel about people with past addictions?,Completely uninterested,Extremely hesitant,A little hesitant,Totally fine,25710,O,,preference
q15752,How important is voting to you?,Extremely important,Very important,Not so important,Not at all important,31818,O,,politics
q16088,Can intelligence be quantified or measured?,Yes,No,Only Some Parts,I'm Not Sure,1303,O,"2, (3, 4), 1",politics; cognitive
q16412,Setting random things (non-living) on fire just to watch them burn is:,Amazing amounts of fun,Worth doing when bored,Unsafe and stupid,Wasteful and stupid,7284,O,"(3, 4), 2, 1",preference
q16770,How would you feel about dating someone who left their long-time partner heartbroken and ruined to be with you?,What's the problem?,"I'd accept it, but not trust them fully.",No way!,I don't know,7894,O,,preference
q16785,"Do you believe in aliens, Big Foot, Lochness, or any other extraordinary creatures?","Yes, all of them","One or two, yes",No,I don't know,3845,O,"3, (2, 4), 1",religion/superstition
q17002,Do you find British comedies entertaining?,They're all I watch.,I like them quite a bit!,"Kind of, but I'd rather watch something else.",Not at all.,17847,O,,preference; opinion
q17342,"On a typical night, what time do you go to sleep?",By 9pm,By 11pm,By 1am,Later,24309,O,,descriptive
q17582,How are your teeth?,Perfect,Okay,Kinda Scraggly,Fucked Up,23548,O,,descriptive
q18095,"One of your friends flirts with your ex, what do you feel?",Jealous,Happy for them,It doesn't make any difference,Not sure,15881,O,"2, (3, 4), 1",sex/intimacy; opinion
q18153,Have you ever donated blood?,"Yes, and I still do","Yes, but I don't want to again/didn't like it","No, I'm ineligible",No,13021,O,"(3, 4), 2, 1",descriptive
q18212,How much do you usually tip a server who did a fine job?,Around 10% or less,10-15%,15-20%,Over 20%,28793,O,,descriptive; preference
q18433,You've been chatting with someone and are hitting it off. They e-mail you nude pictures of themselves. What's your reaction?,Very negative,Sort of negative,Sort of positive,"Very positive, maybe even send nudes back",21817,O,,descriptive
q18512,"Do you ever make up stories to tell people, just for laughs?",All the time,Sometimes,Rarely,Never,2775,O,,descriptive
q18525,"In the absense of major predators, do you support population control for large herbivores such as deer or buffalo?",Killing for any reason is wrong,"In principle, but not by setting hunters loose","yes, it's the natural order of things",If they are out of control kill them all,3364,O,"(3, 4), 2, 1",politics
q18538,Did you ever have a 'goth' phase?,No.,"Yes, and I'm a little embarassed about it.","Yes, and I'm proud of it.",It wasn't a 'phase'!,22347,O,,descriptive
q18609,Can you cook?,"Yes, I'm a culinary genius.","Yes, with a cook book.","No, but I try.","No, there's always fast food.",30481,O,,descriptive
q18622,Could you date someone who has radically different musical preferences than you?,"Yes, variety is the spice of life","No, I don't want to hear it","I'm not sure, depends on the music",I'd insist they like my music,12542,O,"4, 2, 3, 1",descriptive; preference
q18630,"Riddle me this, my // fellow OkCupider: // haiku. What say you?",My lifeblood flows in 5-7-5.,That's Japanese right? I like anything from Japan.,Whatever. It's okay.,Shut up. Poetry is for dorks!,13483,O,,descriptive; preference
q18648,Are you accepting of other people?,I'm highly benevolent,I'm selective,I'm fussy,I'm a hard-nosed bastard,11468,O,,descriptive
q18663,Would you be willing to adopt a child?,Yes,No,I only want adopted children.,I don't want children.,14586,O,"3, 1, 2, 4",preference; descriptive
q18664,How often do you walk around barefoot?,Always,Often,Rarely,Never,17096,O,,descriptive
q18729,Are you narcissistic?,Completely!,Quite a bit,A tiny bit,Not at all,7349,O,,descriptive
q18738,It's okay to be arrogant and snobbish if you know you're right.,Yes,No,Sometimes,I don't know,9504,O,"2, (3, 4), 1",opinion
q18759,How often do you wear underwear?,Always,Usually,Rarely,Never,10861,O,,descriptive
q18763,Do you consider yourself to be an honorable person?,"Yes, I always try to do the right thing.","Sometimes, it depends on the situation.","No, not really.","Are you kidding? I lie, cheat , AND steal.",23284,O,,descriptive
q18775,"A person you're interested in attempts to cook a romantic meal for you.  After tasting a bit of it, you notice it hasn't been cooked completely.  What do you do?",Smile and hope your gag reflex doesn't kick in.,Tell him/her the food needs to cook a little longe,Flat out refuse to eat it.,I'm not sure.,3391,O,"3, 2, 4, 1",preference
q18778,Which is the smallest amount of money you would stop to pick up if you saw it laying in the street?,Penny,Nickel,Dime,A quarter or more.,8748,O,,preference
q18797,"Would you - for any reason - read your mate's email or pose as him/her online, without his/her knowledge and permission?","Yes, they shouldn't be keeping secrets anyway.","Yes, I'd be too curious not to.",Only if I suspected them of something.,"No, I'd trust them and that would be invasive.",38006,O,,preference
q18809,How many countries that are part of the European Union can you name?,0-3,4-8,9-14,15 or more,1267,O,,descriptive
q18821,"Are people who believe in the paranormal (IE: Ghosts, Vampires, Aliens, ESP, etc.) all crazy or suffering from some sort of mental disorder/delusion?","Yes, and they all need mental help, now.","Yes, but I couldn't care less.","No, but I personally don't believe","No, I'm a very big believer in the paranormal.",8774,O,,religion/superstition
q18840,How was your childhood?,Wonderful!,It was okay.,"Not great, but I'm no worse for the wear.","Awful, and I have emotional issues as a result.",19307,O,,descriptive
q18857,How many concerts do you attend a year?,8+,4-7,1-3,"0, typically",19649,O,,descriptive
q18858,Should speech be...,Completely free,Have some censorship,Be very censored,Only say what the dictator wants!,20060,O,,politics
q18861,What do you think of the game of Rugby?,A game for savage barbarians,"Cool, but not for me..",Can't get enough of it!,I don't know anything about it/I don't care,12395,O,"3, 2, 4, 1",preference; descriptive
q18870,Do you believe that mind and body are separate entities (Dualism) or do you believe that they are in a state of unity? (Monism),Monism,Dualism,A bit of both,Uncertain,9681,O,"2, (3, 4), 1",religion/superstition; opinion
q18875,How important is it to you that your partner smell good?,Very damn important,Important-ish,Less important than you think,I just don't care at all,43478,O,,preference
q18878,Are you able to make a decision and stick to it?,Always,Sometimes,Rarely,Never,4000,O,,descriptive
q18883,"Pretend time! Say someone (who lives far away but somewhere you've wanted to go for a long time) messages you online. Having a great time talking for an hour or so, they offer to fly you there the next day to meet them. What do you do?",Yay! I'm there first thing tomorrow!,Let me think about it and get back to you.,Decline politely.,What the hell? Block list.,6496,O,,preference; descriptive
q18889,Do you feel comfortable in an educational or academic environment?,"I love it, I'd possibly make teaching a career","Yes, but sixteen to twenty years is enough for me","I can tolerate it, but it's just a means to an end",Get me as far from school as possible. Now!,3655,O,,preference; descriptive
q18895,"How do you take care of household pests (cockroaches, spiders and the like)?",Squish!,Careful Relocation Outside,I'm Not Sure,Live and Let Live,6881,O,"4, 2, 3, 1",preference; descriptive
q18953,Your date for the evening surprises you with a pair of opera tickets.  You,ask whether Domingo or Carreras is singing.,"say 'I've never been before, but fun!'",go along to avoid hurting your date's feelings.,"develop a sudden, severe case of the flu.",8892,O,,preference
q18979,"If you found out your partner was cheating on you, would you cheat on them in revenge?","Yes, they have it coming!","No, I'd confront them.","No, I'd dump them on the spot.","Maybe, if one of their friends is cute.",28233,O,"3, 2, 4, 1",sex/intimacy; preference
q19003,Would you want to be the leader of your country?,Yes.,"No, I don't think I'd be best for the job.","No, I wouldn't want that much responsibility.",I'm not sure.,1117,O,"(2, 3), 4, 1",preference; descriptive
q19110,What do you do with your money?,Spend it all and live paycheck to paycheck.,"Save some for an emergency fund, spend the rest.","Save some/most of it, but not invest it.",Save some/most of it and invest it.,3343,O,,descriptive
q19125,Are you concerned with your image and the way others perceive you?,Very Much So,"Often, yes",A little bit,Not at all / I hate the mainstream,23440,O,,descriptive
q19215,Could you date someone who has (and acts on) radical-left politics?,Yes,"No way, you commie",As long as it's non-violent.,Not sure,13145,O,"2, 3, 4, 1",politics; preference
q19290,Does violence ever solve anything?,"Yes, everything","No, violence solves nothing",Most of the time,"Almost never, but sometimes",18023,O,"2, 4, 3, 1",politics; opinion
q19446,"Have you ever made a booty call (invited over or visited someone you were not actively in a relationship with, just for sexual activity)?","Yes, and I still do.","Yes, I have done it, but don't any more.","No, and I never will.","No, but I suppose I might.",17693,O,"3, 4, 2, 1",preference; descriptive
q19449,Have you ever gone white water rafting?,"Yes, I love it","No, never","Yes, but never again","No, but I'd like to",15713,O,"2, (3, 4), 1",preference; descriptive
q19482,Teasing:,"Fantastic, make me a sexual martyr","Good in moderation, only if something comes of it",Not so fun,"Horrible, the work of evildoers",13793,O,,sex/intimacy
q19483,When you take a liking to someone you...,Talk to them as often as possible.,Talk to them occasionally.,Wait for them to talk to you.,Avoid them.,6997,O,,preference
q19567,How many hours of television do you watch per week?,None,1-7,8-20,My brain is fried,20925,O,,descriptive
q19652,How long does it take you to get ready in the morning?,I'm ready when I wake up,Less than 1 hour,1 - 2 hours,2 hours or more,20317,O,,descriptive
q19748,What's your opinion of male crossdressers?,I have no problem with them. You go girls!,"I respect them, but they still freak me out.",Whatever they do in private is their business.,I do not approve of them.,18786,O,"4, (2, 3), 1",politics; opinion
q19776,"At what age is it appropriate to talk to your children about non-traditional relationships (e.g., homosexuality)?",Before 10,"After 10, before 17",18 or later,Never,6628,O,,politics; religion/superstition; opinion
q19897,Do you play or have you ever played a Massive Multiplayer Online Role Playing Game?,I enjoy playing them,I'm a recovering addict - never again,"No, but I'd like to try one",Not my type of thing / NO IDEA,20832,O,,preference; descriptive
q19915,Could you date someone with a significant Taoist lean in their outlook on life?,"Yes, I love the Tao Te Ching.","Sure, why not?","No, they'd be too laid back.",What the hell is Taoism?,19210,O,"3, 4, 2, 1",religion/superstition; preference
q19928,"Honestly, did you ever torture a cat, dog, or any other furry animal for pleasure?","Yes, but I regret it.",NO WAY!,"Yeah, that's fun.","No, but I would do it.",10725,O,"2, (1, 4), 3",preference; descriptive
q19941,"You're in a serious, monogamous relationship when your partner gets offered their dream job overseas for three years.  They have decided that it's a chance they just can't pass up.  Which of these choices is most appealing to you?",Trying to arrange it so you can go with,Maintaining a long-distance relationship,"Staying friends, but dating around til they return",Breaking up and moving on,7683,O,,preference
q20016,Protesting for civil rights issues is...,... just for pretentious snobs who want attention.,"... necessary, but it's just not for me.","... somewhat important, but not for all issues.",... something that I actively participate in.,7487,O,,politics; opinion
q20047,How's your English vocabulary?,"OK: bar, beer, party, & various cuss words.","High-brow: harlot, pertinent, polyglot, imbibe.","Copious: pulchritude, corvine, laconic, inveigh.","Choate: flavid, callipygian, tonitruous, fremitus.",5769,O,,descriptive; cognitive
q20135,How do you feel about falling in love?,I love it and want it very much,I try to avoid it,I like to just let it happen,I'm indifferent / not sure,44683,O,"2, (3, 4), 1",sex/intimacy; preference
q20145,Do you like to celebrate holidays?,"Yes, I like to.","No, I don't like to",Depends which holiday it is,I have no preference,11028,O,"2, 4, 3, 1",preference
q20161,The diamond dependent economy of West Africa causes civil wars and crimes against humanity. Should people consider this when purchasing or receiving an engagement ring?,Yes,No,I'm Not Sure,I don't care,4437,O,"2, (3, 4), 1",politics
q20196,"When was your favorite book written? If you have more than one favorite, pick your favorite period of literature.",Pre-1700 (Renaissance/medieval/classical/ancient),"1700-1900 (Elizabethan, Romantic, Victorian, etc.)",1900-1945ish (Modern),1950s or later (Contemporary),8218,O,,preference
q20290,Is being 'in-style' with regards to fashion important to you?,"Yes, Extremely","Yeah, sometimes",Not really,No Way!,13374,O,,preference
q20310,You are arguing with someone and they start to act agressively. You:,Back down - you don't want violence,Ignore the signs and keep arguing,Get agressive right back at them,I'd have backed down way before that stage!,4092,O,"4, 1, 2, 3",descriptive
q20408,"Do you believe in an energy field that surrounds us that we can manipulate through reiki, acupuncture, chakra balancing, yoga, or some other system?","Yes, and I practice one/some of these.","Yes, but I don't practice any of these.","No, but I do practice one/some of these.","No, and I would never practice any of these.",22825,O,,religion/superstition
q20519,In a relationship I like to discuss politics with my partner.,All the time!,Sure. I'm interested in sharing our beliefs.,Sometimes. It depends.,Hardly. Politics are boring or personal.,40256,O,,politics; preference
q20568,How much of your love life do you tell your friends?,They know every detail.,They know a lot.,They know the basics.,They know nothing.,8386,O,,descriptive; preference
q20781,How many times would a person have to turn you down before you took the hint?,Just the once.,I like to try a few times just to make sure.,After the 10th time I call it quits.,I'm relentless!,6400,O,,descriptive
q20818,"Once you take a moral position, can anything be said or done to change your mind?","Yes, life is a big gray area anyway.","No, some things are just Right or Wrong.",Maybe. It depends on the issue.,"Maybe, but it would take a lot.",28211,O,"2, (3, 4), 1",politics; religion/superstition; descriptive
q20838,My hair is usually...,Very well groomed.,Given a good combing.,Intentionally unruly or unkempt.,Left untouched.,22090,O,,descriptive
q20930,Rate your self-confidence:,"Very, very high",Higher than average,Average,Below average,53737,O,,descriptive
q20976,You're in a new relationship and your partner admits that they have had 14 sexual partners. Does that sound like a lot to you?,"Yes, and it makes me uncomfortable.","I guess, but It doesn't change how I feel.",That seems like an average number.,"No, that's nothing.",34627,O,,opinion
q21488,Do you pick up after yourself? Be honest.,Always.,"Yeah, when I have the time.","No, I live in filth.","No, my mom/roommate/partner mostly does it for me.",30108,O,"(3, 4), 2, 1",descriptive
q21589,Would you consider dating someone who's never been in a relationship before?,"Yes, that would be great","Yes, I think","I don't know, I don't think I could",No way!,10757,O,,preference
q21709,"When you are at the movies with your date or your friends, how much talking does it take to make you upset?",No talking allowed upon the start of the film,Talking during and usually about the trailers,Little comments during the movie.,"Constant chatter, to you, others, or a cell phone",11610,O,,preference
q21729,Is satanism acceptable?,Sure,"Yes, it seems a bit immature though.","No, it is wrong.",I don't know/care.,16863,O,"3, 4, 2, 1",religion/superstition; opinion
q21754,What is your opinion concerning strip clubs?,I would be there every day of the week if I could.,They can be fun every once and a while.,I do not really have an opinion/never been to one.,They're gross/disgusting/insulting/other.,28674,O,,preference; opinion
q21793,"How often do you try new things (food, activities, music, whatever) that you've never tried before?","Several times per week, or more.",Several times per month.,Several times per year.,Rarely or never.,28351,O,,descriptive
q21814,"Have you ever used LiveJournal, Tumblr, or any other blogging site?","Yes, I'm addicted","Yeah, once and a while.","No, what's all the hype about?",No way.,13857,O,,descriptive
q21986,"Do you typically speak and write in a clear, precise manner?","Yes, almost always.","Yes, but only for classes/work.",It depends on my mood.,"Ha, my language is vague and messy.",24824,O,,descriptive
q22021,Is your ideal match well-off financially (or at the very least someone who has high income potential)?,"Yes, it's very important.",It's somewhat important.,It's not very important,It's not important at all.,33917,O,,preference
q22122,How long would you have to talk to someone online before you felt comfortable to meet?,I'd meet right away if their profile were cool,A few days,A few weeks,A few months [or never],34086,O,,preference
q22400,"How many people have you kissed that are not related to you, in a more than friendly way?",0,1-10,11-50,51+,10105,O,,descriptive
q22412,"Suppose there exists an omnipotent God.  This God comes to you one day and says it is essential that he become human for the day and you take his place. At the end of the day, do you give God back his job, or remain God for some longer period of time?","Give it back, I couldn't usurp God's position","Give God back his job, I wouldn't want it","Stay God, I'd be an awesome omnipotent ruler","Stay God, I couldn't do much worse, could I?",5128,O,"(1, 2), (3, 4)",religion/superstition; preference
q22496,Board games?,What are board games?,"I love boardgames, let's go play.","Boardgames are okay, I guess.",I'd rather do something else.,23647,O,"2, 3, 4, 1",preference
q23301,Are you scared of the future?,"Yes, a lot","Yes, a little","No, not really","No, not at all",10411,O,,descriptive
q23305,How many countries have you visited?,I have never left the country I live in now.,Between 2 and 5 countries.,Between 6 and 10 countries.,More than 10 countries.,24592,O,,descriptive
q23338,"Your signifigant other has a hobby that you find boring.  They're busy doing whatever it is they like to do, and you're bored.  What do you do?","Go do something I like, alone",Sit and watch to figure out why they like it.,"Sit and watch, resentful.",Bug them for attention.,17907,O,,descriptive
q23389,You're out on the street and you encounter some people speaking a foreign language. What's your reaction?,"You're in our country, speak our language!",No big deal.,"Cool, what language are they speaking?","(in their language) Hi, how are you?",23050,O,,preference
q23543,"Is it a requirement that you communicate every day with your significant other (via phone, text, in person, whatever)?","Yes, no matter what","Yes, unless otherwise specified","No, it's not necessary","No, I'd prefer not to communicate daily",48633,O,,preference
q23618,How important is it to you to have your own unique 'thing' (like a weekly Girls' Night Out or Guys' Movie Night) that you don't share with your partner(s)?,Very - I need some ME time to be happy,Sort of - I need friends outside of my partner,Not much - I like sharing stuff with my partner,I'd prefer not to have exclusive things,25612,O,,preference
q23696,"When you are angry or frustrated, do you ever throw, smash, kick, hit inanimate objects (non-living things)?","Yes, frequently",Sometimes,"Used to, but not any more",Never,33272,O,,descriptive
q23951,Have you ever gone 'warthogging'? (where 'warthogging'= a game where a group of friends compete to see who can pick up/ dance with/ have sex with the most unattractive person),"Yes, and I'd do it again.","Yes, but I'm not proud of it.","No, but I would like to.","No, and I would never do that.",9400,O,,descriptive; preference
q23954,Do you ever feel the need to get really drunk?,Often,Sometimes,Rarely,Never,25432,O,,descriptive
q23993,"In terms of sex, how experienced would your ideal mate be (with people other than you)?",Innocent (Virgin),Slightly Experienced,Moderately Experienced,Very Experienced,34518,O,,sex/intimacy
q24134,How often do you wash your bath towel(s)?,After every use,Every couple uses,Occasionally / When it starts smelling,Rarely,7400,O,,descriptive
q24137,Are you willing to wear uncomfortable clothes to look good?,Absolutely not,On very special occasions,Sometimes,Usually yes,10573,O,,descriptive
q24153,"When I go out to eat, I go to a large chain restaurant:",Exclusively,Sometimes,Once in a while,Never,22686,O,,preference
q24345,How much can intelligence turn you on?,A lot!,A bit.,Intelligence does nothing for me either way.,Intelligence turns me off.,48225,O,,preference; cognitive
q24375,"Say you've started seeing someone you really like. As far as you're concerned, how long will it take before you have sex?",1-2 dates,3-5 dates,6 or more dates,Only after the wedding,51072,O,,sex/intimacy; religion/superstition; preference
q24389,How do you feel about nations spending billions of dollars on space exploration?,It's important for it's own sake.,The new technologies developed benefit everybody.,Problems here on earth are more urgent.,I don't care.,5014,O,"2, 1, 4, 3",politics
q24630,"You've just met someone incredible while out with friends, and (s)he's been kind enough to cough up a phone number.  How long do you wait to call?",As soon as I get home!,Tomorrow.  I don't want to seem too eager.,The mandatory three days.  Duh.,"Eventually, when I feel like it...",5176,O,,descriptive
q24684,Do you carry condoms?,Always,Sometimes,Rarely,Never,27680,O,,sex/intimacy; descriptive
q24991,Would you enjoy an 8-10 mile run with your significant other?,Yes,Maybe less mileage,I am not a runner,What?! Get up off my couch?,8691,O,,preference
q25017,"Do you like to play with words? This includes making up riddles, puns, or even just making that perfect sentence for an essay.",Sure! I often 'letter' rip!,It can be fun,"No, I use language grudgingly.",Wot? Me no like righting!,9360,O,,preference
q25063,"Do you freak out when you get a little upset? (i.e scream, yell and cry)",Yes,No,Only when no one is around,Only when someone is around,18659,O,"2, (3, 4), 1",descriptive
q25561,Does it bother you when people say 'PIN number' or 'ATM machine'?,Yes!,"Well, a little","Nope, but I see why you're asking",Why would it?,27944,O,,preference; cognitive
q25734,What is the farthest you have/would go in a game of strip poker?,Underwear,Topless,All the way,Wouldn't even be playing.,23523,O,"4, 1, 2, 3",preference; descriptive
q26144,"Would it bother you if your boss was a minority, female, or gay?","Yes, one or more of those types bother me","Not really, but maybe",Not sure,No,10232,O,,politics; preference
q26367,Is there at least one nude photo of you on the Net?,Yes,No,"Yes, but my face isn't visible",Not sure,21891,O,"1, 3, 4, 2",descriptive
q26387,Do you bring up STD results/risk factors before you start fooling around?,"No, not usually",Only when I suspect there might be risk involved,"Not always, but I always use condoms/barriers",Always.,16365,O,,sex/intimacy; descriptive
q26405,Is it easy for you to achieve orgasm?,"Yes, with skill and sometimes patience","Yes, any time the wind picks up","No, and I find it somewhat frustrating","No, but don't worry, I'm enjoying myself",27131,O,,sex/intimacy; descriptive
q26545,What kind of party would you rather throw?,Cocktail,Kegger,Dry,Orgy,8612,O,,preference
q26573,Do you like going to poetry readings?,Yes,Sometimes,Occasionally / I'd try it,No,29254,O,,preference
q26720,How much do you spend per year for shoes?,Less than $100,$101 - $ 500,$501- $1000,More than a $1000,28570,O,,descriptive
q26723,"If you really clicked with someone online and were meeting them in person, how would you greet them when you met them?",Say hi / shake their hand,Give them a friendly hug,Give them a kiss on the cheek,Start making out with them almost immediately,17361,O,,descriptive
q27341,How does the thought of someone masturbating with you in mind make you feel?,Shocked,Disgusted,Flattered,Aroused,21602,O,"(1, 2), (3, 4)",sex/intimacy; preference
q28390,"When using a computer, at a desk, do you:",Sit painfully erect,Have good posture,Slouch a bit,Slump on the desk,8737,O,,descriptive
q28545,"When having sex, do you like to have your hair pulled?","Yes, and hard!","Yes, but gently.",No way.,Don't know / Not sure.,28751,O,"3, 4, 2, 1",sex/intimacy
q28549,Do you feel nauseated at the sight of blood?,"Yes, if it's someone else's.","Yes, if it's mine.",Yes to both above.,No,12151,O,"3, (1, 2), 4",descriptive
q28754,How long do you believe people need to be in a relationship before before getting married?,At least 2 years,At least 1 year,At least 6 months,Less than 6 months / no requirement,27565,O,,opinion
q29045,Should college instructors/professors be allowed to voice their political opinions in class?,"Sure, whenever they want.","Yes, provided that doing so is relevant.","It's OK, but only when I agree with them.","Not on your life, pal!",3157,O,,politics; opinion
q29055,How do you feel about living with a signficant other before marriage?,Nothing wrong with that.,"Maybe, depending on the situation.",I'm against that.,I'm not sure.,24121,O,"3, (2, 4), 1",religion/superstition; opinion
q29127,What do you think about people who watch movies purely for the point of making fun of them?,That's so much fun!,That sounds pretty lame.,I don't do it but I suppose it could be fun.,"I hate that. If you don't like it, don't watch it!",2904,O,"4, 2, 3, 1",opinion
q29136,How long does it take to know truly and understand a person you're dating?,Weeks,Months,Years,Who really knows anyone?,5351,O,,opinion
q29211,Is a sinful or immoral thought just as bad as acting on that thought?,"Yes, it's just as bad.","No, it's not as bad.",A thought can't be sinful or immoral.,I'm not sure.,14203,O,"3, 4, 2, 1",religion/superstition
q29316,Do you stand outside the bathroom door and talk to people while theyre taking care of business?,"No, I would consider it bad manners.",Only if its urgent.,"Sure, why not?",I just barge in!,5259,O,,descriptive
q29384,Would you allow your partner to kiss you after performing oral sex on you?,Allow? I enjoy it.,Yes.,No.,It depends.,34342,O,,sex/intimacy
q29389,I talk about my previous relationships:,All the time,Occasionally,"Almost never, unless explicitly asked about them.","Never, even if explicitly asked about them.",26617,O,,descriptive
q29652,"When it comes to music, do you have a strong preference for male or female vocals?",Yes - male vocals.,Yes - female vocals.,"No, not really.",I prefer instrumental or non-vocal-driven music.,10362,O,"4, 3, (1, 2)",preference
q29767,"Suppose you have an attractive cousin, and the cousin is also attracted to you. Suppose both you and your cousin are adults. Would you have non-procreative sex with your cousin?",Yes,No,Maybe,Only if it was a cousin who I didn't grow up with,14905,O,"2, (3, 4), 1",politics; sex/intimacy; descriptive
