question_code,text,option_1,option_2,option_3,option_4,N,Type,Order,Keywords
q164,Do you wear a suit to work (or female equivalent)?,Yes,No,,,10944,O,,descriptive
q165,Are you totally anti-war?,Yes,No,,,14938,O,,descriptive
q168,The life of one of your fellow citizens is more valuable than the lives of ten foreigners.,True,False,,,22138,O,,politics
q169,Should the death penalty be abolished?,Yes,No,,,16884,O,,politics
q170,Do you usually vote in presidential (or applicable) elections?,Yes,No,,,18395,O,,politics
q171,What's more important to you?,Your world,Your country,,,25571,O,,politics; preference
q172,Would you fight for your country in an unjust war?,Yes,No,,,11718,O,,politics; preference
q173,"Let's say you don't agree with a law, one that won't change. Which is your responsibility?",Breaking it when it suits you,Obeying it until it changes,,,3532,O,,politics; opinion
q175,Should burning your country's flag be illegal?,Yes,No,,,45720,O,,politics
q177,Which better explains why most homeless people are homeless?,Sheer laziness,Impossible odds,,,1975,O,,politics; opinion
q180,Have you ever cheated on an exam?,Yes,No,,,15581,O,,descriptive
q182,Have you ever studied math BEYOND calculus?,Yes,No,,,12937,O,,descriptive; cognitive
q183,Are you smarter than all your friends?,Yes,No,,,12145,O,,descriptive; cognitive
q185,Are you really into Anime (Japanese Animation) movies?,Yes,No,,,23792,O,,descriptive
q186,"If you got married, would you change your name?",Yes,No,,,24230,O,,preference; descriptive
q187,"In high school, were you one of the 'cool' kids?",Yes,No,,,11263,O,,descriptive
q190,Do you keep a blog (online journal)?,Yes.,No.,,,8822,O,,descriptive
q191,Could you imagine yourself killing someone?,Yes,No,,,9150,O,,descriptive
q192,Do you believe in dinosaurs?,Yes,No,,,19833,O,,religion/superstition
q193,Do you say grace before meals?,Yes,No,,,23814,O,,religion/superstition
q196,"Excluding childhood fights, have you ever punched someone in the face?",Yes,No,,,18128,O,,descriptive
q198,"Do you think advanced primates, like chimps and apes, should be afforded some degree of 'human' rights?",Yes,No,,,2348,O,,politics; opinion
q199,Do you know the square root of 256 off the top of your head?,Yes,No,,,11673,O,,cognitive
q205,Do you think bodily fluids are inherently gross?,Yes,No,,,19550,O,,sex/intimacy; opinion
q206,Have you ever cybered (had cybersex)?,Yes,No,,,19343,O,,sex/intimacy
q209,Will you teach your children to believe in Santa?,Yes,No,,,26138,O,,religion/superstition
q210,Do you believe in God?,Yes,No,,,35015,O,,religion/superstition
q211,Do you think reptiles are cool?,Yes,No,,,13540,O,,opinion
q212,Do you sleep with a stuffed animal?,Yes,No,,,13604,O,,descriptive
q213,Are some human lives worth more than others?,Yes,No,,,28215,O,,politics; opinion
q214,"Overall, has capitalism made the world a better place?",Yes,No,,,21838,O,,politics; opinion
q216,Star Trek: cool or uncool?,Cool,Uncool,,,21756,O,,opinion
q219,Gay marraige: should it be legal?,Yes,No,,,33413,O,,religion/superstition
q220,Do you like to watch sports on television?,Yes,No,,,28763,O,,preference
q222,Do you think taxes are justified?,Yes,No,,,5804,O,,politics
q223,Do you believe that wealth in America is fairly distributed?,Yes,No,,,1687,O,,politics
q224,"If you could triple your money by investing in a company whose business practices you disapproved of, would you invest?",Yes,No,,,2936,O,,preference; descriptive
q225,Do you think Christians are persecuted in the U.S.?,Yes,No,,,2937,O,,politics; religion/superstition
q227,Do you like sex toys?,Yes,No,,,9324,O,,sex/intimacy
q231,Cell phones: good or evil?,Good,Evil,,,16354,O,,opinion; technology
q241,Are your parents ugly???,Yes,No,,,6649,O,,opinion; descriptive
q244,Do you listen to conservative talk radio?,Yes,No,,,17878,O,,politics; preference
q246,Which describes you better?,Confrontational,Non-confrontational,,,20854,O,,descriptive
q249,Could you do 25 pushups without stopping?,Yes,No,,,11451,O,,descriptive
q250,Do you like being in a car with someone else who's driving extremely fast?,Yes,No,,,19190,O,,preference
q252,"Have you ever been arrested, even if just for a small crime or misdemeanor?",Yes,No,,,12456,O,,descriptive
q254,"Have you ever skied, snowboarded, surfed, or wind-surfed?",Yes,No,,,11333,O,,descriptive
q258,Did America really put a man on the moon?,Yes,No,,,17067,O,,politics
q266,Do you have a favorite sports team that you really like to follow?,Yes,No,,,21527,O,,descriptive
q267,"If some men are doctors and some doctors are tall, does it follow that some men are tall?",Yes,No,,,25094,O,,cognitive
q268,Do you enjoy fantasy books or movies? (e.g. The Lord of the Rings),Yes,No,,,19242,O,,preference; descriptive
q273,Do you know how to drive a stick shift (manual transmission)?,Yes,No,,,16737,O,,descriptive
q275,Are you a virgin?,Yes,No,,,29250,O,,sex/intimacy; descriptive
q277,Would you rather live forever or die happy?,Live forever,Die happy,,,4580,O,,preference
q279,"Based on its involvement in world affairs (past and present), do you think the United States deserves to get attacked by terrorists?",Yes,No,,,6092,O,,politics
q280,Do you like the taste of blood?,Yes,No,,,21771,O,,preference
q283,"Would you give the police significantly more power, if it would lower crime rates?",Yes,No,,,3547,O,,politics; preference
q284,"Would you cut off your own good hand, if you knew it would magically solve poverty in the world?",Yes,No,,,3897,O,,politics; preference
q286,Which are you MORE of?,Talented,Hardworking,,,14276,O,,descriptive
q291,Would you prefer it if fashion models were the same size and bodytype as the average citizen?,Yes,No,,,13740,O,,politics; preference
q294,Which is more important for a good match?,Having similar political beliefs,Having good sex,,,26731,O,,politics; preference; opinion; sex/intimacy
q297,Would you like to date someone a lot purer than you?,Yes,No,,,2908,O,,preference
q298,"If possible, would you prefer to date someone a lot more attractive than you, or about the same?",A lot more attractive,About the same,,,8356,O,,preference
q301,Are you annoyed by people who are super logical?,Yes,No,,,35878,O,,preference
q304,Do you hit the snooze button more than once on a typical morning?,Yes,No,,,17666,O,,descriptive
q307,Do you like wild parties?,Yes,No,,,27957,O,,preference
q308,"If you like someone a lot, do you usually ask them out?",Yes,No,,,37597,O,,descriptive
q309,"Have you ever had a true one-night stand? (You met someone, had sex that night, and never contacted each other again.)",Yes,No,,,28425,O,,sex/intimacy; descriptive
q311,"When you're around new people, are you more of a leader, or are you more cooperative?",More of a leader,More cooperative,,,12195,O,,descriptive
q312,"Are you likely to make long, friendly conversation with strangers?",Yes,No,,,11938,O,,descriptive
q314,"When fooling around with someone, do you sometimes have sexual fantasies about other people?",Yes,No,,,18481,O,,sex/intimacy; descriptive
q315,Would you donate one of your kidneys (assume  you have 2) to save a child you didn't know?,Yes,No,,,979,O,,descriptive
q316,"Have you ever read Shakespeare, other than for a class?",Yes,No,,,12464,O,,descriptive
q320,Do you tend to blow off your responsibilities?,Yes,No,,,13128,O,,descriptive
q321,"Generally speaking, are you a worrier?",Yes,No,,,14765,O,,descriptive
q322,Do you try to draw attention to your body by wearing seductive clothing?,Yes,No,,,18597,O,,descriptive
q324,Orgasms are clearly the most important part of sex.,I agree.,I disagree.,,,34643,O,,sex/intimacy; opinion
q325,"Would you consider having an open relationship (i.e., one where you can see other people)?",Yes,No,,,54443,O,,sex/intimacy; preference
q326,Should your mate also become your best friend?,Yes,No,,,18189,O,,sex/intimacy; preference
q328,"If you saw someone shoplifting, would you turn them in?",Yes,No,,,2382,O,,descriptive
q332,Would you ever date someone who's had cosmetic surgery?,Yes,No,,,11651,O,,descriptive; preference
q333,Would you ever sleep with a porn star?,Yes,No,,,13960,O,,sex/intimacy; preference
q334,Do you usually wear cologne or perfume?,Yes,No,,,23846,O,,descriptive
q335,Do you (or would you) like to go hunting?,Yes,No,,,25464,O,,preference; descriptive
q339,Do you like reggae music a lot?,Yes,No,,,12467,O,,descriptive
q340,"Do you think angry or pornographic music lyrics should be kept, by law, away from kids?",Yes,No,,,12407,O,,politics
q341,"Regardless of whether or not you smoke marijuana, do you think it should be legalized for adults?",Yes,No,,,32473,O,,politics
q342,Do you like stand-up comedy?,Yes,No,,,11389,O,,preference
q344,Do most politicians really want to make the world a better place?,Yes,No,,,11304,O,,politics; opinion
q346,"Have you performed any charity work in the last year? (We mean labor, not donating money)",Yes,No,,,8600,O,,descriptive
q348,Which do you like more? Be honest.,Giving massages,Receiving massages,,,21082,O,,preference; descriptive
q350,Do you have a really good relationship with both your parents?,Yes,No,,,10152,O,,descriptive
q351,Do you think you have ESP at all?,Yes,No,,,14687,O,,religion/superstition
q352,Would you rather date someone extremely hot or extremely honest?,Extremely hot,Extremely honest,,,20751,O,,preference
q354,Would you be comfortable being poor for the rest of your life?,Yes,No,,,26061,O,,preference; opinion
q356,Do you have any credit cards?,Yes,No,,,10543,O,,descriptive
q358,Do you know the first name of every person you've ever made out with?,Yes,No,,,24303,O,,sex/intimacy
q360,You are more romantic than most people you know.,True,False,,,15045,O,,sex/intimacy; descriptive
q368,If someone wrongs you do you exact revenge?,Yes,No,,,4190,O,,descriptive
q375,Do you like going to the movies alone?,Yes,No,,,18131,O,,preference
q376,Do you enjoy being photographed?,Yes,No,,,9965,O,,preference
q382,Is long hair on a guy inappropriate?,Yes,No,,,25262,O,,opinion
q383,Is it cool for guys to wear earrings?,"Sure, it's fine",No way,,,20430,O,,opinion
q385,"If you suffered minor injuries in a car accident, would you exaggerate the damage if you knew it could make you a LOT of money from an insurance company?",Yes,No,,,2127,O,,preference; descriptive
q386,"If someone intentionally damaged your property, would you be more likely to call the police, or to fight them?",Call the police,Fight them,,,15344,O,,politics; preference; descriptive
q387,"Do you typically send thank you cards to people, when they do you favors?",Yes,No,,,7229,O,,descriptive
q388,Is it easier to love or to hate?,Love,Hate,,,25471,O,,opinion
q389,Can most babysitters be trusted with children?,Yes,No,,,9033,O,,opinion
q391,Are you disgusted by the extremely obese?,Yes,No,,,13165,O,,preference; descriptive
q392,"If someone you barely knew asked you how many people you'd had sex with, would you answer?",Yes,No,,,24741,O,,sex/intimacy
q393,Is there a such thing as having had too many sex partners?,Yes,No,,,34232,O,,sex/intimacy
q395,Is it okay for a girl to talk openly about her sexual exploits?,Yes,No,,,29264,O,,sex/intimacy; preference
q396,"If you were in an extremely unhappy marriage, without children, would you get a divorce?",Yes,No,,,7148,O,,sex/intimacy; preference
q397,Is it okay for a guy to talk openly about his sexual exploits?,Yes,No,,,9559,O,,sex/intimacy; preference
q400,"Would you cheat on your taxes, if you were absolutely 100% sure you could get away with it?",Yes,No,,,5155,O,,preference; descriptive
q401,Are you very close to your family?,Yes,No,,,16817,O,,descriptive
q402,Would you sign a prenup?,Yes,No,,,9118,O,,politics; preference; descriptive
q403,Do you enjoy discussing politics?,Yes,No,,,52369,O,,politics; preference; descriptive
q404,Do you read the news most days?,Yes,No,,,14268,O,,descriptive
q410,Have you ever been to a strip club?,Yes,No,,,19224,O,,descriptive
q413,Have you ever played Dungeons and Dragons?,Yes,No,,,19509,O,,descriptive
q416,Would you and your ideal match eventually feel comfortable farting around each other?,Yes,No,,,21963,O,,sex/intimacy; preference
q417,Have you ever blacked out from drunkenness?,Yes,No,,,19918,O,,descriptive
q418,"If a woman burps out loud, that is...",Cool,Uncool,,,4833,O,,opinion
q420,Do you pee in the shower?,Yes,No,,,2973,O,,descriptive
q425,"Do you have a nervous habit, like biting your nails?",Yes,No,,,9215,O,,descriptive
q426,Do you enjoy watching movies with subtitles?,Yes,No,,,21843,O,,preference; descriptive
q427,Do your parents have strong opinions about what kind of person you should marry?,Yes,No,,,13403,O,,descriptive
q428,"Do you think people living in rural areas are more ignorant, on average, than city folks?",Yes,No,,,14933,O,,politics; opinion
q434,Do you like loud concerts?,Yes,No,,,23610,O,,preference
q435,"Did you ever study Latin, Ancient Greek, or any other dead language, for at least a year?",Yes,No,,,11793,O,,descriptive
q436,Does music have a big influence on your life?,Yes,No,,,19582,O,,descriptive
q437,Do you own or ride a motorcycle?,Yes,No,,,14597,O,,descriptive
q438,"If you had children, would it upset you to discover they were dumb, but nice?",Yes,No,,,6143,O,,descriptive
q439,Are you annoying?,Yes,No,,,20456,O,,descriptive
q441,Do you make your bed most days?,Yes,No,,,22211,O,,descriptive
q442,"If you don't do anything at all for an entire day, how does that make you feel?",Good,Bad,,,41784,O,,descriptive
q444,Do you think most people who are happy in relationships are just lying to themselves?,Yes,No,,,13496,O,,opinion
q445,Which typically comes first for you?,Work,Play,,,20701,O,,descriptive
q446,Do you think most people are lonely?,Yes,No,,,9454,O,,opinion
q447,Do you think most people tell at least one lie most days?,Yes,No,,,12563,O,,opinion
q451,Do you think the basic instinct to survive and reproduce fundamentally drives every decision a person makes?,Yes,No,,,15252,O,,politics; religion/superstition; opinion
q454,"As an adult, have you ever been single for more than a year straight?",Yes,No,,,16366,O,,descriptive
q455,Would the world be a better place if people with low IQs were not allowed to reproduce?,Yes,No,,,35500,O,,politics
q457,Do most women look better with make-up on?,Yes,No,,,5903,O,,preference; opinion
q458,"If a close friend doesn't call you for a week, do you start worrying that he hates you?",Yes,No,,,14685,O,,descriptive
q460,Is it wrong for two adopted siblings to date each other?,Yes,No,,,2473,O,,politics; opinion; sex/intimacy
q463,"In your ideal sexual encounter, do you take control, or do they?",I take control,They take control,,,28517,O,,sex/intimacy
q465,"If you dislike your food in a restaurant, do you typically send it back?",Yes,No,,,13757,O,,descriptive
q466,"Can you tell the difference between very good wine and pretty good wine, just from the taste?",Yes,No,,,9622,O,,descriptive
q467,Do you imagine you're louder than average (for someone your gender) during sex?,"Yes, I'm louder",No,,,22041,O,,sex/intimacy
q468,Do you like logic puzzles?,Yes,No,,,10793,O,,preference
q469,Do you like word games like Scrabble or Boggle?,Yes,No,,,12601,O,,preference
q470,Do you enjoy crossword puzzles or jumbled word puzzles?,Yes,No,,,7677,O,,preference
q471,Do you know how to use a darkroom to develop negatives and prints?,Yes,No,,,10742,O,,descriptive
q472,Have you ever fully read a book over 1000 pages?,Yes,No,,,1955,O,,descriptive
q476,Do you wear a lot of black?,Yes,No,,,13925,O,,descriptive
q478,Does the idea of childbirth disgust you?,Yes,No,,,19581,O,,sex/intimacy; preference; opinion
q484,"Do you have strong feelings about what kind of computer you use? (Apple, PC, or UNIX, for example)",Yes,No,,,15625,O,,descriptive; technology
q485,Do you know and enjoy chess?,Yes,No,,,9707,O,,preference; descriptive
q486,Is a welfare system a good idea? Or does taxing for it just take money away from hard-working people who earned it?,Welfare is mostly good,Welfare is mostly bad,,,24191,O,,politics
q487,Have you ever quit a job without giving at least a week notice?,Yes,No,,,10249,O,,descriptive
q488,"Do you make impulse purchases a lot, like gadgets you don't need, or clothes that are too expensive?",Yes,No,,,1285,O,,descriptive
q489,Have you ever been fired from a job?,Yes,No,,,11328,O,,descriptive
q494,Do you own a record player?,Yes,No,,,10094,O,,descriptive
q496,"When a relationship ends, what's the best thing to do?",Try and be friends with your ex,Go your separate ways,,,23651,O,,sex/intimacy; opinion
q499,Could you date someone who used anti-depressants?,Yes,No,,,26238,O,,sex/intimacy; preference
q501,Have you smoked a cigarette in the last 6 months?,Yes,No,,,57123,O,,descriptive
q508,Do you like holding hands?,Yes,No,,,17018,O,,sex/intimacy; preference
q512,Do you like to dance?,Yes,No,,,23504,O,,preference
q513,"Have you ever dyed your hair a real crazy, unnatural color?",Yes,No,,,18045,O,,descriptive
q525,Do you play any musical instruments?,Yes,No,,,11164,O,,descriptive
q527,Is marriage a necessity for two people who love each other?,Yes,No,,,35270,O,,sex/intimacy; religion/superstition
q535,Is it REALLY better to have loved and lost?,Yes,No,,,7360,O,,sex/intimacy; preference
q536,Which is worse: being too much of a dreamer or too cynical?,too much of a dreamer,too cynical,,,19142,O,,opinion
q538,Would you ever record a video of yourself having sex?,Yes,No,,,25806,O,,sex/intimacy
q546,Would you date a transgender person?,Yes,No,,,25729,O,,sex/intimacy; preference
q553,Do spelling mistakes annoy you?,Yes,No,,,53159,O,,preference
q564,Can you name five current world leaders?,Yes,No,,,11132,O,,descriptive
q577,How many dates does it take for a potential significant other to get a good sense of who you are as a person?,Less than five,More than five,,,24163,O,,sex/intimacy
q579,Do you feel that animals are more important than humans?,Yes,No,,,17160,O,,politics; opinion
q594,Can anything be made the subject of a joke?,"Yes, anything can be funny in the right light.","No, some subjects should not be joked about.",,,36996,O,,politics; opinion
q597,"Should freedom of speech allow the expression of all viewpoints, even extreme and widely-offensive ones?",Yes,No,,,3260,O,,politics
q605,"Would you date someone who was looking for true love - but no sex, at all, ever?",Yes,No,,,23360,O,,sex/intimacy
q614,"If you could have brilliant skill at something, would you prefer:",something practical?,something fun?,,,35755,O,,preference
q627,Would you have a sexual relationship with a friend even if you both knew you were romantically incompatible?,Yes,No,,,15051,O,,sex/intimacy
q634,Have you ever attended -- or would you attend -- a Sci-Fi/Anime/etc convention?,Yes,No,,,7708,O,,preference; descriptive
q712,Do you think a girl with hairy underarms is necessarily unattractive?,Yes,No,,,15342,O,,opinion
q723,"Would you consider dating someone who had a very shady, questionable past?",Yes,No,,,3237,O,,preference
q744,"Do you consider yourself a truly honest person, in all aspects of your life?",Yes,No,,,3562,O,,descriptive
q763,Do you believe in karma?,Yes,No,,,25417,O,,religion/superstition
q784,Would you be okay with your significant other spending a lot of time with one of his/her exes (as a friend)?,Yes,No,,,38166,O,,sex/intimacy; preference
q838,"For you personally, is abortion an option in case of an accidental pregnancy?",Yes,No,,,44461,O,,politics; religion/superstition; opinion
q854,"Do you wish things like vampires, fairies, werewolves, ghosts, or something along those lines were real?",Yes,No,,,20669,O,,religion/superstition; preference
q872,What's more important?,Safety,Freedom,,,6121,O,,politics
q898,"Is it possible to have a true relationship, friend or otherwise, with someone you've never met in person?",Yes,No,,,23078,O,,sex/intimacy; opinion
q913,Would you rather have your dream job or your soul mate for the rest of your life?,Dream Job,Soul Mate,,,20148,O,,preference
q963,Is foreplay necessary for good sex?,Yes,No,,,31118,O,,sex/intimacy
q1011,"Do you know what a 'safeword' is, in a sexual context?",Yes,No,,,19649,O,,sex/intimacy
q1040,Receiving anal sex?,I like it / I think I might like it,I don't like it / I don't think I would like it,,,28476,O,,sex/intimacy
q1081,Would you prefer to be a financial success or to remain true to your principles?,"Financial success, please.","I'll stick with my principles, thanks.",,,21491,O,,preference; descriptive
q1099,Are you smarter than most people?,Yes,No,,,36529,O,,descriptive; cognitive
q1100,Are you better looking than most people?,Yes,No,,,10920,O,,descriptive
q1101,Do you think most people would prefer to be a lot more like you?,Yes,No,,,8156,O,,opinion
q1102,Do you feel that you're usually at least one step ahead of most people you talk to?,Yes,No,,,8559,O,,opinion; cognitive
q1103,Are you naturally a lot better at games than most people?,Yes,No,,,6671,O,,descriptive
q1104,Are you a genius?,Yes,No,,,17707,O,,descriptive; cognitive
q1112,Do you like the taste of beer?,Yes,No,,,32538,O,,preference
q1119,Does your partner have to be an active reader?,Yes,No,,,30205,O,,preference
q1133,Do you have rape fantasies?,Yes,No,,,28546,O,,sex/intimacy
q1146,Is taking care of your body important to you?,Yes,No,,,8873,O,,opinion
q1158,"Are you married, engaged to be married, or in a relationship that you believe will lead to marriage?",Yes,No,,,25211,O,,sex/intimacy; descriptive
q1172,Do you own any dice with more than six sides?,Yes,No,,,28736,O,,descriptive
q1179,Do you like traveling?,Yes,No,,,20169,O,,preference
q1263,Do you need to know about your partner's previous sexual exploits?,"Yes, because it reflects on them as a person.","No, the past is the past.",,,22636,O,,sex/intimacy; preference
q1277,Is it okay for you to be irrational in making important life decisions?,Yes,No,,,6824,O,,opinion
q1290,Do you feel like you're still hurting from something that happened to you a long time ago?,Yes,No,,,26085,O,,descriptive
q1293,Do you understand quantum physics?,Yes / Some,No,,,9509,O,,descriptive
q1305,Do you own your own country's flag?,Yes,No,,,21794,O,,descriptive
q1375,Are geeks sexy?,Yes,No,,,26971,O,,sex/intimacy; preference; opinion
q1379,"Would you take your top off while dancing in a nightclub? (If you're a girl, assume you have a bikini top or bra on underneath)",Yes,No,,,3288,O,,preference
q1387,"Would you ever engage in a sexual activity you didn't enjoy, just because your partner did?",Yes,No,,,25029,O,,sex/intimacy
q1406,Do you think that smarter people are usually capable of deeper love?,Yes,No,,,15731,O,,sex/intimacy; opinion
q1408,Would you wear your partner's underclothing if they wanted you to?,Yes,No,,,17965,O,,sex/intimacy
q1435,Do you consider yourself sexually open minded?,Yes,No,,,12882,O,,sex/intimacy; descriptive
q1439,Do you enjoy being naked?,Yes,No,,,18832,O,,preference
q1454,"Do you enjoy outdoor activities such as camping, hiking or fishing?",Yes,No,,,35889,O,,preference
q1455,"Do you consider yourself an artist of any kind? (Music, painting, poetry, etc. all count.)",Yes,No,,,12185,O,,descriptive
q1471,Do you believe reason is more important than emotions in solving problems?,Yes,No,,,18544,O,,opinion; cognitive
q1481,"When looking for a mate, do you feel that it's the other person's job to prove himself or herself to you?",Yes,No,,,3228,O,,preference; opinion
q1572,Would you shave something you usually don't because your partner asked you to?,Yes,No,,,18181,O,,sex/intimacy; preference
q1597,Would you consider sleeping with someone on the first date?,Yes,No,,,52509,O,,sex/intimacy; preference
q1618,Would you date someone who has genital herpes?,Yes,No,,,14654,O,,sex/intimacy; preference
q1640,Which do you cause more of?,Order,Chaos,,,16942,O,,descriptive
